architecture,optimizer,penalty_config,outcome_r2_mean_mean,outcome_r2_mean_std,balance_score_mean,balance_score_std
cnn,adam,linear+balance+ci,0.3004,0.0116,0.9692,0.0273
cnn,adamw,linear+balance+ci,0.3004,0.0116,0.9692,0.0273
cnn,rmsprop,all_penalties,0.3085,0.0213,0.9645,0.0304
cnn,nadam,linear+balance,0.3057,0.0124,0.9563,0.0347
cnn,nadam,linear+balance+ci,0.3017,0.002,0.9536,0.0586
cnn,adam,linear+balance,0.2999,0.009,0.9357,0.0684
cnn,adamw,linear+balance,0.2999,0.009,0.9357,0.0684
cnn,nadam,all_penalties,0.2846,0.0105,0.9353,0.0542
cnn,rmsprop,linear+balance,0.3155,0.033,0.9254,0.0179
cnn,nadam,balance_only,0.3019,0.0161,0.9246,0.0758
cnn,adam,all_penalties,0.3029,0.0125,0.92,0.0761
cnn,adamw,all_penalties,0.3029,0.0125,0.92,0.0761
cnn,rmsprop,balance_only,0.3093,0.0253,0.9031,0.0639
cnn,rmsprop,linear+balance+ci,0.3173,0.0131,0.8887,0.026
cnn,sgd,linear+balance+ci,0.2088,0.014,0.881,0.0732
cnn,sgd,linear+balance,0.1967,0.0249,0.8736,0.0714
cnn,sgd,all_penalties,0.2147,0.0156,0.8577,0.0715
cnn,sgd,balance_only,0.2085,0.0321,0.8479,0.1268
lstm,nadam,linear+balance,0.2686,0.0164,0.838,0.1172
lstm,rmsprop,linear+balance+ci,0.2905,0.0111,0.8378,0.0845
lstm,adam,balance_only,0.2841,0.013,0.8115,0.0296
lstm,adamw,balance_only,0.2841,0.013,0.8115,0.0296
lstm,rmsprop,all_penalties,0.2885,0.0049,0.8098,0.0413
cnn,adam,balance_only,0.3049,0.0068,0.7977,0.1185
cnn,adamw,balance_only,0.3049,0.0068,0.7977,0.1185
lstm,sgd,linear+balance,0.2534,0.0209,0.7964,0.0989
lstm,nadam,balance_only,0.2638,0.0092,0.7936,0.1112
lstm,adam,linear+balance,0.2706,0.0159,0.7909,0.0481
lstm,adamw,linear+balance,0.2706,0.0159,0.7909,0.0481
lstm,nadam,all_penalties,0.2894,0.0077,0.77,0.0294
lstm,rmsprop,balance_only,0.2874,0.0084,0.7639,0.0641
lstm,adam,all_penalties,0.2782,0.0175,0.7626,0.0477
lstm,adamw,all_penalties,0.2782,0.0175,0.7626,0.0477
lstm,adam,linear+balance+ci,0.2814,0.0126,0.7621,0.0861
lstm,adamw,linear+balance+ci,0.2814,0.0126,0.7621,0.0861
lstm,sgd,all_penalties,0.2583,0.0076,0.7603,0.0271
lstm,sgd,linear+balance+ci,0.2572,0.0087,0.758,0.0269
lstm,rmsprop,linear+balance,0.2735,0.0075,0.7579,0.0185
lstm,nadam,linear+balance+ci,0.2779,0.018,0.7489,0.0667
lstm,sgd,balance_only,0.2669,0.0095,0.7194,0.017
lstm,sgd,none,0.2811,0.0117,0.7036,0.007
lstm,rmsprop,linear_only,0.3493,0.0064,0.6967,0.0343
lstm,nadam,none,0.3437,0.0135,0.6931,0.0653
lstm,sgd,linear_only,0.2823,0.0039,0.6922,0.0315
lstm,adam,none,0.3575,0.0174,0.6823,0.0278
lstm,adamw,none,0.3575,0.0174,0.6823,0.0278
lstm,nadam,linear_only,0.3527,0.0063,0.681,0.0122
lstm,rmsprop,none,0.3426,0.0062,0.6763,0.0079
cnn,sgd,linear_only,0.2514,0.0187,0.6614,0.0346
lstm,adam,linear_only,0.3566,0.0055,0.6542,0.0105
lstm,adamw,linear_only,0.3566,0.0055,0.6542,0.0105
cnn,adam,none,0.3729,0.0152,0.6146,0.021
cnn,adamw,none,0.3729,0.0152,0.6146,0.021
cnn,rmsprop,linear_only,0.36,0.0211,0.6073,0.0421
cnn,sgd,none,0.2592,0.0117,0.6017,0.0218
cnn,rmsprop,none,0.3884,0.0151,0.5917,0.0209
cnn,adam,linear_only,0.3514,0.0176,0.5825,0.0432
cnn,adamw,linear_only,0.3514,0.0176,0.5825,0.0432
cnn,nadam,none,0.3734,0.036,0.5761,0.0666
cnn,nadam,linear_only,0.3727,0.0022,0.5753,0.0401
