covariate_mode,meal_type,model,quantile_tau,treat_offset,minutes,n_obs,ACME,ACME_lower,ACME_upper,ACME_p,ADE,ADE_lower,ADE_upper,ADE_p,total_effect,total_lower,total_upper,total_p,prop_mediated,m_resid_skew,m_resid_kurt,m_shapiro_p,y_resid_skew,y_resid_kurt,y_shapiro_p
pca,ALL,lmer,,15.0,60.0,190.0,-2.030077438754135,-4.487833608331247,0.3884244475416264,0.096,3.4088795792821887,0.0766504950063019,6.379135931583239,0.044,1.3788021405280535,-0.923135704071175,3.541440444436731,0.22,-1.472348627176236,1.5954216248810384,3.6735613150788495,5.771344716937449e-12,-0.3574465941709229,0.2914923997844374,0.1098467699070757
pca,ALL,lmer,,15.0,65.0,190.0,-2.334789350308534,-5.043788765867201,0.1431963985743558,0.06,3.775288225848019,0.4271741084959379,7.207805329610458,0.024,1.440498875539485,-0.9835969726996996,3.8699871972635504,0.242,-1.6208199742149232,1.5954216248810384,3.6735613150788495,5.771344716937449e-12,-0.439204599739584,0.5177610137034985,0.0441899809735929
pca,ALL,lmer,,15.0,70.0,190.0,-2.7667985158786776,-5.404455121706686,0.0026551600439879,0.052,4.407517605516409,1.129991990204433,7.755296462262253,0.016,1.6407190896377315,-1.1373454190355885,4.066790159472054,0.212,-1.6863328606053962,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,-0.4102784783749342,0.5344335223434911,0.0445591340410625
pca,ALL,lmer,,15.0,75.0,190.0,-3.1553225717137106,-5.868477488106373,-0.4723804308373209,0.022,4.97639518756943,1.1787100514359,8.76037210499797,0.01,1.82107261585572,-0.8855203587643378,4.682975038556549,0.18,-1.732672571231339,1.5954216248810384,3.6735613150788495,5.771344716937449e-12,-0.3302014253794183,0.4233704523472453,0.1722358932450332
pca,ALL,lmer,,15.0,80.0,190.0,-3.7545044944449386,-6.596866092507836,-0.8501011888868909,0.008,5.7908693168225955,2.1573869889602117,9.581607370467674,0.006,2.036364822377657,-0.7098259285236442,4.691307856673335,0.138,-1.8437288118448167,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,-0.2457780144002702,0.2783079777775792,0.572074401725202
pca,ALL,lmer,,15.0,85.0,190.0,-3.793865578540992,-6.725779071258086,-0.756882454841872,0.014,6.073077371728274,2.297541021300105,10.042675791256537,0.0,2.2792117931872826,-0.4818584483488142,5.098233889895913,0.12,-1.664551574312274,1.5954216248810384,3.6735613150788495,5.771344716937449e-12,-0.1732814167851444,0.0844387957982708,0.7708530353048797
pca,ALL,lmer,,15.0,90.0,190.0,-3.9451182427323386,-7.19265355438966,-1.0068439535277276,0.012,6.45482145677225,2.2896057433173858,10.442966342614362,0.0,2.509703214039912,-0.3652389395602236,5.250278171077217,0.076,-1.5719461252080935,1.5954216248810384,3.6735613150788495,5.771344716937449e-12,-0.1506481370143536,-0.0002258153848027078,0.7809678344703121
pca,ALL,lmer,,15.0,95.0,190.0,-4.222111238608488,-7.623112964217711,-1.0361364638410555,0.008,6.712652205459243,2.362909532167198,11.053880253828885,0.002,2.490540966850755,-0.4570666386164696,5.57074487299532,0.106,-1.6952586987345453,1.5954216248810384,3.6735613150788495,5.771344716937449e-12,-0.1267967905236516,0.0173176332997515,0.9178284203178704
pca,ALL,lmer,,15.0,100.0,190.0,-4.221487638414507,-7.536088649013616,-1.2513031513255104,0.002,6.724956160367194,2.365515619191741,11.089100013265,0.002,2.5034685219526875,-0.8084677440372184,5.5008955454162365,0.108,-1.6862555296368482,1.5954216248810384,3.6735613150788495,5.771344716937449e-12,-0.1302963826076934,0.0649348484194516,0.8290076029765889
pca,ALL,lmer,,15.0,105.0,190.0,-4.4554435304577105,-7.935108128217679,-1.0289776786908802,0.012,6.864675712624467,2.678678422082684,11.080804343320176,0.0,2.409232182166756,-0.5211364115062,5.333749289700247,0.112,-1.849320942762222,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,-0.1006678647251727,0.0267083203561457,0.7926193474499268
pca,ALL,lmer,,15.0,110.0,190.0,-4.747093832409618,-8.248748728722305,-1.59563929882726,0.004,7.238470135794955,2.649598777982632,11.625603330784068,0.002,2.4913763033853367,-0.6770309530157168,5.68838701300042,0.12,-1.9054102047768389,1.5954216248810384,3.6735613150788495,5.771344716937449e-12,-0.0399610955282784,-0.0075934215612747,0.7089264285493904
pca,ALL,lmer,,15.0,115.0,190.0,-4.848917037867645,-8.224719287292638,-1.3895933478402902,0.01,7.5453826606767,3.104518435297684,12.144086225621896,0.004,2.696465622809055,-0.4987994192621802,5.991391737123759,0.102,-1.7982491587696432,1.5954216248810384,3.6735613150788495,5.771344716937449e-12,0.0061185435162012,0.0281449639734336,0.7157874916450551
pca,ALL,lmer,,15.0,120.0,190.0,-4.809406232008819,-8.603557680982057,-1.2567756001150714,0.01,7.350356642857485,2.8403734087119408,11.885501263156993,0.002,2.540950410848666,-0.8058252861117455,5.721360721435607,0.126,-1.892758792723743,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,0.0202514037190353,0.0461378227383328,0.810723868745002
pca,ALL,lmer,,15.0,125.0,190.0,-4.837837852145187,-8.526880841417919,-1.4278210773947724,0.004,7.190790560898818,2.442999958117312,11.6077626035947,0.004,2.3529527087536315,-1.3046804018229,5.772833416292921,0.178,-2.056071009904746,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,0.0777766320597692,-0.0089090216802101,0.6410800762947972
pca,ALL,lmer,,15.0,130.0,190.0,-4.653161754377707,-8.154129544433125,-1.2407428809334071,0.008,6.8410053948239495,2.0971785375045746,11.53638535211919,0.006,2.187843640446243,-0.9997005819511496,5.487557701363198,0.214,-2.1268255502155653,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,0.0955250735729322,0.0293433481344727,0.914386849447685
